	Negative	Positive	TotalFreq
torrance	0	2	2
torrent	0	3	3
torrential	1	0	1
torrenting	1	0	1
torrents	2	1	3
torreon	1	0	1
torres	0	1	1
torrets	0	1	1
torrey	0	1	1
torrid	0	1	1
torrie	1	2	3
torro	0	1	1
torso	0	1	1
tortilla	1	1	2
tortoise	2	0	2
torture	11	10	21
tortured	2	0	2
tortures	0	1	1
torturous	1	0	1
tory	1	1	2
tos	2	1	3
tosee	1	0	1
toseland	1	0	1
tosh	1	0	1
toshiba	3	0	3
tosleep	1	0	1
toss	4	5	9
tossa	0	1	1
tossed	2	1	3
tossers	1	0	1
tosses	0	1	1
tossin	1	0	1
tossing	5	1	6
tostado	1	0	1
tostones	0	1	1
tot	1	1	2
total	31	29	60
totaled	3	0	3
totally	168	158	326
totallytee	1	0	1
totaly	3	2	5
tote	0	1	1
totes	6	1	7
totodile	0	1	1
totoo	1	0	1
tots	3	0	3
toturial	0	1	1
totz	1	0	1
tou	1	1	2
touch	55	58	113
touchd	1	0	1
touchdown	0	1	1
touche	3	2	5
touched	8	8	16
touches	0	6	6
touching	5	0	5
touchpad	2	0	2
touchscreen	1	0	1
touchstone	1	0	1
touchtheapple	0	1	1
touchups	1	0	1
tough	31	33	64
toughen	1	0	1
tougher	2	2	4
toughie	0	1	1
tought	1	0	1
toulon	0	1	1
toulouse	0	2	2
toune	0	1	1
tounge	3	2	5
tounghn	1	0	1
tour	89	94	183
tourdates	0	1	1
toured	0	2	2
tourette	0	1	1
touring	6	5	11
tourism	5	1	6
tourist	2	4	6
tourists	0	2	2
tournament	8	4	12
tournaments	0	1	1
tourney	4	5	9
tournys	0	1	1
tourrrr	0	1	1
tours	3	4	7
tourture	1	0	1
toushes	0	1	1
tout	1	2	3
tov	0	1	1
tow	6	4	10
toward	2	4	6
towards	6	14	20
towed	2	0	2
towel	8	3	11
towelled	0	1	1
towels	5	2	7
tower	4	4	8
towerkop	0	1	1
towers	5	2	7
town	105	79	184
towne	0	2	2
townn	1	0	1
townnn	1	1	2
towns	1	3	4
towpath	0	1	1
towson	1	1	2
toy	18	20	38
toya	1	0	1
toyc	1	0	1
toyfort	0	1	1
toyota	0	2	2
toys	6	9	15
toysrus	0	1	1
toz	1	0	1
tp	4	1	5
tpb	0	1	1
tpdays	0	1	1
tpe	0	1	1
tpf	0	1	1
tr	4	11	15
traaaain	0	1	1
traaaining	0	1	1
trabajo	1	0	1
trablogan	0	1	1
trac	0	1	1
trace	6	5	11
tracecyrus	0	1	1
traced	0	1	1
tracey	0	1	1
tracie	0	1	1
track	30	36	66
trackball	3	0	3
tracked	2	0	2
tracker	0	1	1
tracking	2	4	6
trackle	4	0	4
trackmania	0	1	1
tracks	5	17	22
tracktion	1	0	1
tract	1	0	1
tractors	0	1	1
tracy	5	5	10
trade	11	10	21
traded	2	0	2
trademark	0	2	2
trader	2	2	4
traderjoe	0	1	1
traders	0	3	3
trades	0	1	1
tradewinds	0	1	1
trading	2	5	7
tradition	1	4	5
traditional	1	3	4
traditions	1	0	1
traff	0	1	1
traffic	77	17	94
trafficking	1	0	1
trafford	1	1	2
tragedies	0	1	1
tragedy	6	1	7
tragic	19	3	22
traido	1	0	1
trail	5	5	10
trailer	22	55	77
trailers	2	3	5
trailor	1	1	2
trails	1	2	3
train	83	113	196
trained	1	5	6
trainees	0	1	1
trainer	6	3	9
trainers	1	2	3
trainifique	0	1	1
trainin	0	1	1
training	41	33	74
trainings	1	1	2
trains	9	4	13
trainwreck	0	1	1
trait	1	1	2
traitor	2	1	3
traktor	0	2	2
tram	1	1	2
tramici	0	1	1
tramp	0	1	1
trampoline	3	6	9
trampolineing	1	0	1
trampolines	1	0	1
trampolining	0	1	1
trance	2	7	9
tranlsators	1	0	1
tranmogification	0	1	1
trannies	1	0	1
tranny	0	1	1
trannys	2	0	2
tranquility	0	1	1
trans	2	2	4
transaction	1	2	3
transatlanticism	0	1	1
transcab	1	0	1
transcend	0	1	1
transcoding	0	1	1
transcribing	1	0	1
transfer	10	8	18
transferable	0	1	1
transferred	1	2	3
transfers	2	1	3
transfigured	0	1	1
transform	2	1	3
transformation	1	1	2
transformations	0	1	1
transformers	34	9	43
transforming	0	2	2
transhumanism	1	0	1
transit	4	3	7
transition	1	1	2
transitioning	1	1	2
translate	2	4	6
translated	1	3	4
translates	1	0	1
translating	1	0	1
translation	7	2	9
translator	1	1	2
transmission	1	2	3
transmit	1	1	2
transmitter	1	0	1
transparent	2	0	2
transpires	1	0	1
transplant	3	1	4
transport	9	5	14
transportable	1	0	1
transportation	2	0	2
transporter	0	1	1
transportu	0	1	1
transvision	0	1	1
transylvanian	0	1	1
trap	7	2	9
trapped	13	2	15
traps	2	1	3
trash	10	6	16
trashed	1	0	1
trashers	0	1	1
trashing	0	1	1
trasnfer	1	0	1
trattorias	0	1	1
trauma	0	3	3
traumatic	3	1	4
traumatised	1	0	1
traumatize	1	0	1
traumatized	2	0	2
traurig	1	0	1
trav	0	1	1
travail	0	1	1
travails	1	0	1
travel	26	41	67
traveled	4	0	4
traveler	0	2	2
travelers	0	1	1
traveling	13	5	18
travelled	2	0	2
travellers	0	1	1
travellin	0	1	1
travelling	3	5	8
travelodge	1	0	1
travels	3	8	11
travelzoom	0	1	1
travers	0	1	1
traversity	1	0	1
travesty	3	0	3
travie	0	1	1
travis	5	7	12
travoradio	1	0	1
travsummit	0	1	1
trawl	1	0	1
trawling	1	0	1
tray	1	1	2
tre	3	0	3
treacle	1	0	1
treadmill	2	0	2
treadmilling	1	0	1
treal	0	1	1
treasure	3	6	9
treasured	0	2	2
treasures	0	1	1
treasury	0	3	3
treat	15	22	37
treated	7	6	13
treatin	1	1	2
treating	2	10	12
treatment	7	4	11
treatments	2	1	3
treats	2	1	3
treaty	1	0	1
trebek	1	0	1
treble	1	0	1
trecherous	1	0	1
tred	0	1	1
treding	0	1	1
tree	24	22	46
treego	1	0	1
treehouse	0	1	1
trees	13	7	20
treetop	0	1	1
trefusis	0	1	1
trek	16	47	63
trekkers	1	0	1
trekkie	0	1	1
trekkies	0	1	1
trekkin	1	0	1
trekking	0	3	3
tremblant	1	0	1
tremendous	0	2	2
tremendously	2	0	2
tremense	0	1	1
tremi	1	0	1
trench	1	0	1
trenchcoat	1	0	1
trenches	0	1	1
trend	5	5	10
trending	16	23	39
trends	2	3	5
trendy	2	4	6
trent	3	5	8
trentles	0	1	1
trenton	1	0	1
trents	1	0	1
trepar	1	0	1
tres	4	2	6
trespassing	0	1	1
tress	0	1	1
tretton	1	0	1
trev	0	3	3
trevor	2	1	3
treximet	1	0	1
trey	2	7	9
treysongz	0	1	1
treysongzmusicmondays	1	1	2
trhough	1	0	1
tri	2	4	6
triage	1	0	1
trial	6	3	9
trials	0	1	1
triangle	2	2	4
trianon	1	0	1
trians	1	0	1
triathlon	1	1	2
triathlons	0	1	1
trib	1	0	1
tribal	0	1	1
tribbles	0	2	2
tribe	2	0	2
tribeca	1	0	1
tribella	1	0	1
tribes	0	1	1
tribune	0	3	3
tributary	1	0	1
tribute	2	5	7
tricake	1	0	1
trichotillomania	0	1	1
trick	4	17	21
tricked	3	0	3
trickeries	1	0	1
tricks	2	4	6
trickster	0	1	1
tricky	2	5	7
triclosan	1	0	1
tried	224	72	296
trier	0	1	1
tries	5	6	11
trifecta	1	1	2
triffle	0	1	1
trifle	1	0	1
trigeia	0	1	1
trigger	1	0	1
triggered	2	1	3
triggering	1	0	1
triggers	0	1	1
trigonometry	1	0	1
triiiiiii	0	1	1
trilby	0	1	1
trill	0	1	1
trillion	1	0	1
trilogy	1	3	4
trim	3	4	7
trimester	1	0	1
trimmed	2	1	3
trimming	0	1	1
trinda	1	0	1
trini	3	0	3
trinidad	0	1	1
trinity	1	2	3
trinking	1	0	1
trinoma	1	1	2
trio	1	2	3
trip	125	130	255
tripadvisor	0	1	1
triple	4	3	7
tripled	1	0	1
triplejay	1	0	1
triplet	0	1	1
triplets	2	0	2
tripn	1	0	1
tripod	0	2	2
tripos	1	0	1
tripped	7	2	9
trippin	5	1	6
tripping	3	2	5
trippn	2	1	3
trippp	1	0	1
trips	4	1	5
tris	1	0	1
trish	1	2	3
trisha	1	1	2
trishina	0	1	1
trishy	0	1	1
tristate	1	0	1
triste	6	0	6
triumph	0	1	1
triumphant	0	1	1
trivia	3	4	7
trivial	0	1	1
triviatastic	1	0	1
trix	1	0	1
trixie	2	0	2
trixiee	1	0	1
troat	0	1	1
trobs	0	1	1
troc	0	1	1
trod	2	0	2
troed	1	0	1
trohble	0	1	1
trojan	0	1	1
trolaza	0	1	1
troll	3	2	5
trolley	1	1	2
trolls	2	0	2
trolly	0	1	1
trombone	1	0	1
tron	1	0	1
troop	1	1	2
trooper	1	1	2
troopers	0	1	1
troopin	1	0	1
troops	1	2	3
trop	1	1	2
tropez	1	0	1
trophies	0	1	1
trophy	5	3	8
tropical	4	4	8
tropicana	2	0	2
trot	1	1	2
trots	1	0	1
trotzdem	1	0	1
trouble	42	28	70
troubled	2	0	2
troubles	6	1	7
troubleshooting	2	0	2
troublesome	1	0	1
trough	0	1	1
troughout	1	0	1
trought	1	0	1
trouper	1	0	1
trousers	4	1	5
trove	0	1	1
trower	1	0	1
troy	1	2	3
troybolton	1	0	1
trs	1	1	2
tru	1	4	5
trubble	0	1	1
truce	1	0	1
truck	26	13	39
truckee	0	1	1
truckie	1	0	1
trucking	0	1	1
trucks	4	3	7
trudge	1	0	1
trudging	1	0	1
trudy	0	2	2
true	110	178	288
trueblood	0	3	3
truecarvalue	0	1	1
trueeee	0	1	1
truely	4	3	7
truestory	1	0	1
truf	1	0	1
truffle	0	1	1
truffles	0	1	1
truley	0	1	1
trully	0	1	1
truly	14	34	48
trump	0	1	1
trumpet	2	2	4
trumps	1	0	1
trundle	1	1	2
trunk	2	2	4
trunks	1	1	2
trust	21	32	53
trusted	1	0	1
trustifarians	0	1	1
trusting	1	0	1
trusts	1	0	1
trustworthy	1	0	1
trusty	1	0	1
truth	15	23	38
truthful	0	1	1
truthfully	1	2	3
truthtweetfyi	0	1	1
truuuuuue	0	1	1
trv	1	0	1
try	208	306	514
trydan	0	1	1
tryed	4	2	6
tryig	1	0	1
tryign	1	0	1
tryin	26	14	40
trying	384	247	631
tryingg	0	1	1
tryn	0	1	1
tryna	18	13	31
trynna	1	1	2
tryout	0	2	2
tryouts	1	0	1
tryst	1	3	4
tryy	0	1	1
tryyyy	1	0	1
ts	3	3	6
tsa	0	1	1
tsaby	0	1	1
tsandps	1	0	1
tsatziki	1	0	1
tscc	2	0	2
tsch	1	0	1
tse	1	0	1
tsel	0	1	1
tshirt	2	7	9
tshirts	1	2	3
tshoufiyya	0	1	1
tsit	2	0	2
tsk	11	4	15
tsl	1	0	1
tsmb	0	1	1
tsr	1	0	1
tst	1	0	1
tstorms	1	0	1
tsukasa	0	1	1
tsunami	1	0	1
tsunamis	1	0	1
tt	3	6	9
ttc	1	0	1
ttdi	1	0	1
tteintressant	0	1	1
tteln	1	0	1
ttfn	0	1	1
ttm	1	0	1
ttr	1	0	1
tts	1	0	1
ttt	2	0	2
tttrend	0	1	1
ttttoooo	1	0	1
tttttt	1	0	1
tty	0	1	1
ttyl	1	16	17
ttys	0	1	1
ttysoon	1	0	1
tu	8	4	12
tually	1	0	1
tuas	1	0	1
tuaw	1	0	1
tub	6	11	17
tubby	0	1	1
tube	5	4	9
tubers	0	1	1
tubes	3	1	4
tubr	1	0	1
tucci	1	0	1
tuck	8	4	12
tucked	1	0	1
tucker	1	1	2
tucking	0	1	1
tucks	1	0	1
tucson	2	1	3
tue	0	2	2
tues	12	3	15
tuesday	62	66	128
tuesdays	4	2	6
tuesdaytantrum	1	0	1
tuff	0	1	1
tuft	0	1	1
tug	1	0	1
tuh	1	0	1
tuitero	0	1	1
tuitin	1	0	1
tuition	6	2	8
tuitions	1	0	1
tuk	1	0	1
tul	1	0	1
tulips	0	3	3
tulisannya	0	1	1
tuljak	0	1	1
tulls	0	1	1
tulsa	1	7	8
tulugan	1	0	1
tum	2	3	5
tumalo	1	0	1
tumblarity	2	1	3
tumble	1	2	3
tumbler	1	0	1
tumbling	1	1	2
tumblr	8	10	18
tumblrs	0	1	1
tumbly	0	1	1
tumhe	0	2	2
tummies	1	0	1
tummmy	2	0	2
tummy	111	14	125
tummyache	5	0	5
tummyacheness	1	0	1
tummyfat	0	1	1
tumor	0	1	1
tumour	1	0	1
tums	3	1	4
tumteetumteetum	0	1	1
tuna	5	4	9
tunage	0	2	2
tunderstorms	0	1	1
tundra	1	0	1
tune	9	36	45
tuned	2	24	26
tunes	6	15	21
tunesia	1	0	1
tungtung	0	1	1
tuning	1	2	3
tunisian	1	0	1
tunned	0	1	1
tunnel	2	3	5
tupac	2	1	3
tupid	1	0	1
turbo	3	1	4
turbojam	0	1	1
turbulance	1	0	1
turd	1	0	1
turds	1	0	1
tured	1	0	1
turf	3	3	6
turin	1	0	1
turing	0	1	1
turk	1	1	2
turkey	13	12	25
turkish	3	4	7
turmans	1	0	1
turn	101	72	173
turnabout	0	1	1
turned	70	55	125
turner	1	2	3
turnin	2	1	3
turning	27	24	51
turnoffwords	1	3	4
turnout	3	1	4
turnover	2	0	2
turnpike	0	1	1
turns	32	15	47
turnsignal	0	1	1
turntable	0	1	1
turntablism	0	1	1
turon	1	0	1
turqioise	0	2	2
turquoise	0	4	4
turtle	6	3	9
turtles	3	2	5
turvy	2	0	2
tuscany	0	1	1
tusen	0	1	1
tusenfryd	0	1	1
tush	0	1	1
tusr	0	1	1
tut	2	5	7
tutor	3	3	6
tutorial	8	7	15
tutorials	3	2	5
tutoring	0	2	2
tutors	1	1	2
tuts	0	1	1
tutt	0	1	1
tutti	1	0	1
tuttifrutti	1	0	1
tuu	0	1	1
tuuu	0	1	1
tuuubeee	0	1	1
tuve	1	0	1
tux	0	3	3
tuxs	1	0	1
tv	172	155	327
tvandgo	0	1	1
tvoed	1	0	1
tvotr	0	1	1
tvp	0	1	1
tvs	1	0	1
tvshack	1	0	1
tw	2	5	7
twackle	1	0	1
twaction	0	1	1
twalk	0	4	4
twam	1	0	1
twany	0	1	1
twappy	0	1	1
twarriage	1	0	1
twas	7	6	13
twat	3	1	4
twatter	1	0	1
twattering	1	0	1
twc	1	0	1
tweak	2	0	2
tweaked	0	2	2
tweaking	1	2	3
tweaks	0	3	3
tweating	1	1	2
tweatups	1	0	1
tweed	1	0	1
tweedeck	1	0	1
tweedeledidies	0	1	1
tweedies	0	1	1
tweedle	0	2	2
tweee	0	1	1
tweeed	0	1	1
tweeeeeeeeet	0	1	1
tweeeties	0	1	1
tweeeting	0	2	2
tweeing	0	1	1
tweekers	0	1	1
tweeking	0	1	1
tween	0	2	2
tweend	0	1	1
tweep	0	1	1
tweepies	0	2	2
tweeple	3	15	18
tweeples	5	3	8
tweeps	14	46	60
tweepz	0	1	1
tweet	211	385	596
tweetage	1	0	1
tweetards	0	1	1
tweetaroo	1	0	1
tweetbunchnz	0	1	1
tweetcamp	1	0	1
tweetcha	1	0	1
tweetdeck	55	22	77
tweeted	20	25	45
tweeten	0	1	1
tweeter	3	8	11
tweeterbugs	0	1	1
tweeterians	0	1	1
tweetering	0	1	1
tweeters	5	20	25
tweeterssss	0	1	1
tweeterwall	0	1	1
tweetgrade	1	0	1
tweetgrid	0	1	1
tweethead	1	0	1
tweetheart	0	1	1
tweethearts	3	4	7
tweetheeart	0	1	1
tweethug	1	0	1
tweetie	15	18	33
tweetiepies	0	1	1
tweeties	2	7	9
tweetilicious	0	1	1
tweetin	1	1	2
tweeting	60	89	149
tweetinig	1	0	1
tweetlater	0	1	1
tweetless	0	1	1
tweetlings	0	1	1
tweetlord	0	1	1
tweetmeharder	1	0	1
tweetni	1	0	1
tweetopians	0	1	1
tweetpeeps	0	1	1
tweetphoto	0	1	1
tweetple	0	1	1
tweetplys	0	1	1
tweetquest	0	1	1
tweetrends	0	1	1
tweets	134	185	319
tweetshop	1	0	1
tweetup	4	11	15
tweetupmellers	0	1	1
tweetwhore	0	1	1
tweety	0	4	4
tweetypies	0	1	1
tweetz	1	1	2
tweezers	0	1	1
tweggas	0	2	2
tweggies	1	0	1
tweightloss	1	0	1
twelve	2	1	3
twend	1	0	1
twends	1	0	1
twendz	0	1	1
twenty	7	6	13
twerd	0	1	1
twestiee	0	1	1
tweting	1	0	1
twhirl	3	2	5
twi	0	1	1
twibble	0	1	1
twibe	2	2	4
twibulous	1	0	1
twice	40	30	70
twicon	1	0	1
twiddle	1	1	2
twiddlier	0	1	1
twidget	1	0	1
twidroid	6	0	6
twiends	1	0	1
twifans	1	0	1
twig	2	0	2
twiga	0	1	1
twigga	1	1	2
twiggas	0	1	1
twiggass	0	1	1
twiggaz	0	2	2
twiggers	1	0	1
twiggs	1	0	1
twiggy	0	2	2
twigs	0	1	1
twiiggas	0	1	1
twiiiiiiin	1	0	1
twiiitterrrrr	0	1	1
twiiter	4	6	10
twiiterena	1	0	1
twiitter	0	1	1
twiix	2	0	2
twikini	1	0	1
twiligghhttt	0	1	1
twilight	35	88	123
twilighters	0	1	1
twilightt	0	1	1
twilio	0	1	1
twilite	0	1	1
twillight	0	1	1
twim	0	1	1
twimage	0	1	1
twin	4	8	12
twink	0	2	2
twinkies	1	0	1
twinkini	1	0	1
twinkle	1	2	3
twinni	1	0	1
twinnie	0	1	1
twinny	2	0	2
twins	8	6	14
twinters	1	0	1
twintrovert	0	1	1
twintuesday	0	1	1
twinzzzzzy	1	0	1
twip	1	0	1
twiples	1	0	1
twirl	1	1	2
twirly	1	0	1
twishes	0	1	1
twist	1	5	6
twisted	5	6	11
twister	0	2	2
twisties	2	0	2
twisting	2	0	2
twistory	1	0	1
twists	0	1	1
twisty	0	1	1
twistys	0	1	1
twit	14	32	46
twitaaa	0	1	1
twitascope	1	0	1
twitastic	0	1	1
twitbin	0	1	1
twitch	2	3	5
twitches	0	3	3
twitching	3	0	3
twiter	2	0	2
twitering	1	0	1
twiterrific	0	1	1
twiters	0	1	1
twitfold	0	1	1
twitition	1	0	1
twitjobs	0	1	1
twitland	0	1	1
twitopocalypse	1	0	1
twitpeeps	1	0	1
twitpeople	0	1	1
twitpic	29	33	62
twitpickage	0	1	1
twitpicnic	0	1	1
twitpics	4	4	8
twitpix	1	0	1
twitpocalypse	1	1	2
twits	6	16	22
twitshuffle	1	0	1
twitssssssssssss	0	1	1
twitt	3	8	11
twitta	2	1	3
twittah	0	2	2
twittas	3	0	3
twitte	1	0	1
twitted	1	3	4
twittedfon	1	0	1
twitteeeer	1	0	1
twittelator	0	1	1
twitter	667	1040	1707
twitteranalyzer	0	1	1
twitterating	1	0	1
twitterbackgrounds	1	0	1
twitterbar	0	1	1
twitterberry	9	7	16
twitterbox	1	0	1
twitterbug	0	1	1
twitterbugs	3	3	6
twitterbugz	0	1	1
twitterdom	0	1	1
twittered	11	3	14
twitterem	0	1	1
twitterena	0	2	2
twitterer	1	4	5
twitterers	4	7	11
twitteresce	0	1	1
twitterettes	1	2	3
twitterfail	1	0	1
twitterfam	1	0	1
twitterfeed	0	2	2
twitterfied	1	0	1
twitterfilms	0	1	1
twitterfon	4	6	10
twitterfox	3	3	6
twitterholic	1	0	1
twitterians	1	0	1
twitteride	1	0	1
twitteriffic	1	0	1
twitterific	6	4	10
twitterin	1	1	2
twittering	20	36	56
twitterings	1	0	1
twitteristi	0	1	1
twitterites	0	1	1
twitteritis	0	1	1
twitterland	8	8	16
twitterless	1	0	1
twitterlicious	0	1	1
twitterlings	0	3	3
twitterlocal	0	1	1
twitterlulu	1	0	1
twitterlympics	0	1	1
twittermail	1	0	1
twitterness	0	2	2
twitterology	1	0	1
twitterpated	0	1	1
twitterpeople	0	1	1
twitterphone	0	1	1
twitterpics	0	1	1
twitterpies	0	1	1
twitterpornnames	1	0	1
twitterqueens	0	1	1
twitterr	2	1	3
twitterres	0	1	1
twitterric	0	1	1
twitterride	1	0	1
twitterrific	5	2	7
twitterrrrrr	0	1	1
twitters	18	45	63
twitterscope	0	1	1
twittersphere	1	1	2
twittersssss	0	1	1
twittertakeover	2	1	3
twittertips	0	1	1
twittertourney	0	1	1
twitteruniverse	0	1	1
twitterverse	5	20	25
twittervile	1	0	1
twitterville	4	10	14
twittervision	0	1	1
twitterwhore	0	1	1
twitterworld	1	9	10
twittery	0	1	1
twitterz	2	1	3
twittet	0	1	1
twittheart	1	0	1
twitties	2	2	4
twittin	0	1	1
twitting	1	5	6
twittiquette	0	1	1
twittix	0	2	2
twittlets	0	1	1
twittn	0	1	1
twittpic	1	0	1
twitts	2	7	9
twittter	1	0	1
twitturds	1	0	1
twittwer	1	0	1
twitty	0	3	3
twittz	0	1	1
twitvid	0	1	1
twitz	0	1	1
twix	0	1	1
twixer	0	1	1
twixt	0	1	1
twizzlers	2	0	2
twleve	1	0	1
twlight	0	1	1
twloha	0	1	1
twm	1	0	1
two	285	254	539
twoish	0	1	1
twola	1	0	1
twolay	0	1	1
twoo	0	1	1
twopi	0	1	1
tworkout	0	1	1
tworthy	0	1	1
twosome	1	0	1
twoted	1	0	1
twotpic	0	1	1
twoupie	0	1	1
twove	0	1	1
twpp	2	1	3
twrf	0	1	1
twt	1	1	2
twter	1	0	1
twtrcon	1	1	2
twttr	1	2	3
twubbing	0	1	1
twug	5	0	5
twugs	3	0	3
twurch	0	1	1
twurl	0	1	1
tww	1	0	1
twweeeterr	1	0	1
twwodays	1	0	1
tx	9	11	20
txn	1	0	1
txt	24	21	45
txtin	0	1	1
txting	3	2	5
txts	2	3	5
txw	0	1	1
ty	4	31	35
tya	1	0	1
tybee	1	0	1
tycoon	2	1	3
tying	1	0	1
tylenol	4	2	6
tyler	6	9	15
tylerbby	0	1	1
tym	2	1	3
tyme	1	0	1
tymes	1	0	1
tyms	2	0	2
tyops	0	1	1
typ	0	1	1
type	41	51	92
typed	1	3	4
typeface	1	0	1
typen	0	1	1
typepad	1	0	1
typer	0	1	1
types	1	5	6
typewriter	0	1	1
typhoon	0	1	1
typi	1	0	1
typical	8	12	20
typically	4	2	6
typico	0	1	1
typinator	0	1	1
typing	20	10	30
typo	5	7	12
typography	0	2	2
typoing	1	0	1
typoooo	0	1	1
typos	2	1	3
tyra	2	2	4
tyrannical	0	1	1
tyrannically	1	0	1
tyre	1	0	1
tyres	2	1	3
tyring	1	0	1
tyrone	1	1	2
tyson	7	1	8
tytn	0	1	1
tyty	2	0	2
tyvm	1	1	2
tyvvvm	0	1	1
tz	1	0	1
tzle	0	1	1
tzu	1	0	1
uaaaarggghh	1	0	1
uam	0	1	1
uams	0	1	1
uandme	0	1	1
uas	2	0	2
ub	1	1	2
ubanktu	0	1	1
ubber	1	0	1
ubbi	1	0	1
ubc	0	1	1
uber	4	10	14
uberly	0	2	2
ubertwitter	10	6	16
ubi	1	0	1
ubisoft	2	1	3
ubos	1	0	1
ubunters	0	1	1
ubuntu	6	5	11
uc	3	0	3
ucan	1	0	1
ucattip	1	0	1
ucd	0	1	1
ucf	1	0	1
uch	1	0	1
uched	0	1	1
uchh	1	0	1
uci	0	2	2
uck	2	1	3
ucky	1	0	1
ucl	0	1	1
ucla	0	1	1
ucrit	1	0	1
ucsd	0	1	1
ud	0	1	1
uda	0	2	2
udah	4	3	7
udaipur	1	0	1
uday	1	0	1
udepressed	0	1	1
udh	2	0	2
udontwantk	0	1	1
uds	0	1	1
udy	2	0	2
ue	1	1	2
uefa	0	1	1
ufc	6	2	8
uff	3	2	5
ufff	4	0	4
ufies	0	1	1
ufo	0	1	1
ufone	2	0	2
ufos	0	1	1
ug	4	2	6
ugg	6	1	7
uggg	1	0	1
ugggggg	0	1	1
ugggggggggg	1	0	1
ugggggggggggggggggggggggh	1	0	1
ugggggghhhh	1	0	1
uggggh	1	0	1
ugggh	1	1	2
uggghhh	1	0	1
uggghhhh	3	0	3
uggh	5	1	6
ugghh	3	0	3
ugghhh	1	0	1
ugghhhh	2	0	2
uggz	0	1	1
ugh	466	52	518
ughghhh	1	0	1
ughh	44	5	49
ughhghg	1	0	1
ughhh	34	1	35
ughhhh	11	1	12
ughhhhh	8	2	10
ughhhhhh	3	1	4
ughhhhhhh	1	0	1
ughhhhhhhh	1	0	1
ughhhhhhhhh	0	1	1
uglier	2	0	2
ugliest	2	0	2
ugly	42	15	57
uglyest	0	1	1
ugrent	1	0	1
uguuuuuu	1	0	1
uh	40	23	63
uhaul	1	0	1
uhelp	1	0	1
uhg	1	0	1
uhh	7	6	13
uhhh	6	4	10
uhhhh	1	1	2
uhhhhh	1	0	1
uhhhhhh	1	0	1
uhhhhhhhhhh	1	0	1
uhhhhhhhhhhhh	1	0	1
uhhhmm	1	0	1
uhm	4	11	15
uhmaaaazing	0	1	1
uhmm	1	0	1
uhmmm	1	1	2
uhoh	1	0	1
uhohhhhhh	0	1	1
uhs	2	0	2
uhuh	0	1	1
uhuiii	0	1	1
uhuuu	0	1	1
ui	3	12	15
uihauihauihiuah	0	1	1
uiuc	0	1	1
uiview	0	1	1
ujiannya	0	1	1
uk	76	70	146
ukandireland	0	1	1
ukcny	1	0	1
uke	0	1	1
ukeleles	0	1	1
ukers	1	0	1
ukiah	1	0	1
ukip	1	0	1
uknow	1	0	1
ukraine	0	1	1
ukrainian	0	2	2
ukst	0	1	1
uktime	1	0	1
uktop	0	1	1
uktv	0	1	1
ukulele	1	2	3
ul	0	1	1
ulam	1	0	1
ulcer	7	0	7
ulcers	1	0	1
ulcu	0	1	1
uld	1	1	2
ulda	1	0	1
ulduar	0	1	1
ulit	1	1	2
ull	2	3	5
ulla	0	1	1
ulled	1	0	1
ulric	1	0	1
ulta	2	1	3
ultimate	8	10	18
ultimately	2	2	4
ultimatum	0	1	1
ultra	3	3	6
ultragrrrl	0	1	1
ultrasn	4	0	4
ultrasound	3	2	5
ulu	1	1	2
um	31	33	64
uma	1	0	1
umaalis	0	1	1
umair	1	0	1
umarte	0	1	1
umasa	0	1	1
umb	0	1	1
umbrella	8	4	12
umbrellaless	1	0	1
umbrellas	1	0	1
umd	0	1	1
umenyi	0	3	3
umm	19	21	40
umma	2	0	2
ummer	1	0	1
ummm	14	11	25
ummmm	2	2	4
ummmmm	2	3	5
ummmmmmmmmmmmm	0	1	1
umno	0	1	1
umorul	0	1	1
ump	1	0	1
umph	1	0	1
umpteenth	0	1	1
umuulan	1	0	1
umwfa	1	0	1
umzug	1	0	1
un	15	13	28
una	4	2	6
unable	20	2	22
unacceptable	1	0	1
unaccompanied	1	0	1
unagi	1	0	1
unalarmed	1	0	1
unambiguously	1	0	1
unapproachable	1	0	1
unattractive	1	0	1
unavailable	6	0	6
unavoidable	1	0	1
unaware	1	0	1
unbalancing	1	0	1
unbanned	0	1	1
unbearable	4	0	4
unbearably	1	0	1
unbelievable	4	3	7
unbelievably	4	4	8
unbelieveably	0	1	1
unbelieveble	1	0	1
unbelivibly	0	1	1
unblah	0	1	1
unblock	1	1	2
unblocked	1	1	2
unblurring	1	0	1
unborn	0	1	1
unbox	1	0	1
unboxing	1	0	1
unbroke	1	1	2
unbroken	2	0	2
unbusy	1	0	1
unc	0	2	2
uncalled	1	0	1
uncanny	0	1	1
uncapped	1	0	1
uncaught	1	0	1
uncensored	0	1	1
uncertain	1	1	2
uncertainly	1	0	1
unchangeable	1	0	1
unchanged	0	1	1
uncharted	6	1	7
unclaimed	0	1	1
uncle	22	22	44
unclean	1	0	1
unclear	1	0	1
uncled	0	1	1
uncles	1	2	3
uncomfortable	13	2	15
uncomfortably	1	1	2
uncomfy	1	0	1
uncommon	0	1	1
uncompiled	0	1	1
uncomplicated	0	1	1
unconcious	2	0	2
unconditional	0	1	1
unconf	0	1	1
unconference	0	1	1
unconnected	1	0	1
unconscious	2	0	2
uncontrollable	0	1	1
uncontrollably	1	1	2
uncool	5	3	8
uncorking	0	1	1
